銘柄コード,1973
会社名,ＮＥＣネッツエスアイ株式会社
上場市場,東証一部
上場日,1983年12月22日
業種,情報・通信業
法人番号,6010001135680
住所,東京都文京区後楽２丁目６番１号

大株主
順位,株主名,持株比率
1,日本電気株式会社,38.49％
2,日本トラスティ・サービス信託銀行株式会社（三井住友信託銀行再信託分・日本電気株式会社退職給付信託口）,12.89％
3,日本トラスティ・サービス信託銀行株式会社（信託口）,6.40％
4,日本マスタートラスト信託銀行株式会社（信託口）,6.07％
5,住友不動産株式会社,2.42％
6,日本トラスティ・サービス信託銀行株式会社（信託口９）,1.72％
7,ＧＯＶＥＲＮＭＥＮＴＯＦＮＯＲＷＡＹ


（常任代理人シティバンク、エヌ・エイ東京支店）,1.45％
8,ＮＥＣネッツエスアイ従業員持株会,1.35％
9,ＳＴＡＴＥＳＴＲＥＥＴＢＡＮＫＡＮＤＴＲＵＳＴＣＯＭＰＡＮＹ５０５００１


(常任代理人株式会社みずほ銀行決済営業部）,1.21％
10,ＪＰＭＣＧＯＬＤＭＡＮＳＡＣＨＳＴＲＵＳＴＪＡＳＤＥＣＬＥＮＤＩＮＧＡＣＣＯＵＮＴ


（常任代理人株式会社三菱ＵＦＪ銀行）,1.12％

出資先上場企業
会社名,直接持株比率
